ID:5;Video Name:travel.mp4;Start time:20:55;End time:21:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserE;Days:
ID:1;Video Name:coca-cola.mp4;Start time:07:00;End time:12:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserB;Days:
ID:1;Video Name:dog.mp4;Start time:00:00;End time:07:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserA;Days:
ID:2;Video Name:coca-cola.mp4;Start time:07:00;End time:12:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserB;Days:
ID:3;Video Name:idle.mp4;Start time:12:00;End time:15:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserC;Days:
ID:4;Video Name:car.mp4;Start time:15:00;End time:21:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserD;Days:
ID:5;Video Name:travel.mp4;Start time:21:00;End time:23:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-9-30;label:UserE;Days:
ID:1;Video Name:dog.mp4;Start time:22:00;End time:23:55;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:22-24;Days:
ID:2;Video Name:dog.mp4;Start time:22:00;End time:23:55;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:22-24;Days:
ID:2;Video Name:coca-cola.mp4;Start time:01:00;End time:06:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:1-5;Days:
ID:3;Video Name:idle.mp4;Start time:05:00;End time:10:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:5-10;Days:
ID:4;Video Name:car.mp4;Start time:10:00;End time:15:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:10-15;Days:
ID:5;Video Name:travel.mp4;Start time:15:00;End time:22:00;Until:2024-10-31;Duration:1;Type task:daily;Start date:2024-10-8;label:15-22;Days:
